game_id,tag
278,3rd-Person Perspective
278,Drama
278,Lore-Rich
278,3rd-person
278,Experience
278,open-world
278,atmosphere
29028,Singleplayer
29028,Steam Achievements
29028,Full controller support
29028,Steam Cloud
29028,Atmospheric
29028,Great Soundtrack
29028,Story Rich
29028,First-Person
29028,Sci-fi
29028,Horror
29028,FPS
29028,Survival
29028,Stealth
29028,Dark
29028,Survival Horror
29028,Post-apocalyptic
29028,Linear
29028,3D Vision
29028,Based On A Novel
29028,Benchmark
7689,Singleplayer
7689,Steam Achievements
7689,Full controller support
7689,Steam Cloud
7689,Atmospheric
7689,steam-trading-cards
7689,Great Soundtrack
7689,RPG
7689,Story Rich
7689,Open World
7689,Third Person
7689,Exploration
7689,Steam Leaderboards
7689,Female Protagonist
7689,Survival
7689,Stealth
7689,Action-Adventure
7689,Third-Person Shooter
7689,Parkour
7689,Quick-Time Events
7689,Lara Croft
3287,Singleplayer
3287,Steam Achievements
3287,Full controller support
3287,Steam Cloud
3287,Atmospheric
3287,steam-trading-cards
3287,Story Rich
3287,Open World
3287,Third Person
3287,Horror
3287,Steam Leaderboards
3287,Sandbox
3287,Stealth
3287,Dark
3287,Mature
3287,Beat em up
3287,Detective
3287,Comic Book
3287,Superhero
3287,Batman
3192,Singleplayer
3192,Steam Achievements
3192,Multiplayer
3192,Full controller support
3192,Steam Cloud
3192,Atmospheric
3192,steam-trading-cards
3192,Great Soundtrack
3192,Story Rich
3192,Open World
3192,Third Person
3192,Sci-fi
3192,Steam Leaderboards
3192,Sandbox
3192,Stealth
3192,Tactical
3192,Third-Person Shooter
3192,Dark
3192,Captions available
3192,Replay Value
3192,Cinematic
3192,Heist
3192,Horses
290856,Multiplayer
290856,Full controller support
290856,Atmospheric
290856,Co-op
290856,First-Person
290856,Sci-fi
290856,FPS
290856,Online Co-Op
290856,Exploration
290856,Survival
290856,Free to Play
290856,Action-Adventure
290856,Tactical
290856,Dark
290856,PvP
290856,Character Customization
290856,Cinematic
290856,combat
290856,Team-Based
290856,Cyberpunk
290856,Battle Royale
290856,Hero Shooter
290856,lootboxes
16944,Singleplayer
16944,Steam Achievements
16944,Steam Cloud
16944,Atmospheric
16944,steam-trading-cards
16944,RPG
16944,Story Rich
16944,Open World
16944,Third Person
16944,Partial Controller Support
16944,Fantasy
16944,Difficult
16944,Steam Leaderboards
16944,Dark
16944,Nudity
16944,Choices Matter
16944,Dark Fantasy
16944,Mature
16944,Medieval
16944,Magic
16944,Multiple Endings
16944,Based On A Novel
16944,Nonlinear
17822,Singleplayer
17822,Steam Cloud
17822,Atmospheric
17822,Great Soundtrack
17822,RPG
17822,Story Rich
17822,Open World
17822,Third Person
17822,Fantasy
17822,Classic
17822,Action RPG
17822,Nudity
17822,Choices Matter
17822,Dark Fantasy
17822,Mature
17822,Medieval
17822,Magic
17822,Multiple Endings
17822,Based On A Novel
416,Singleplayer
416,Multiplayer
416,Atmospheric
416,Great Soundtrack
416,Story Rich
416,Open World
416,Third Person
416,Partial Controller Support
416,Funny
416,Classic
416,Sandbox
416,Comedy
416,Moddable
416,Mature
416,Crime
416,Driving
416,first person mod
416,Remote Play on Tablet
416,Remote Play on Phone
416,controversial
416,karaihb
19103,Singleplayer
19103,Multiplayer
19103,Atmospheric
19103,Great Soundtrack
19103,First-Person
19103,Sci-fi
19103,FPS
19103,Classic
19103,Free to Play
19103,Short
19103,Futuristic
19103,Aliens
19103,Dystopian
19103,Commentary available
19103,Illuminati
19103,Silent Protagonist
19103,Benchmark
11973,Singleplayer
11973,Steam Achievements
11973,Full controller support
11973,Steam Cloud
11973,Atmospheric
11973,steam-trading-cards
11973,RPG
11973,Story Rich
11973,Open World
11973,Third Person
11973,Fantasy
11973,Gore
11973,Sandbox
11973,Stealth
11973,Action RPG
11973,Hack and Slash
11973,Dark Fantasy
11973,Magic
11973,Parkour
11973,Assassin
11973,Lore-Rich
11973,Based On A Novel
11973,steam
11973,category
11973,microtranzations
23027,Singleplayer
23027,Full controller support
23027,Atmospheric
23027,Story Rich
23027,Third Person
23027,Horror
23027,Gore
23027,Survival
23027,Zombies
23027,Point & Click
23027,Post-apocalyptic
23027,Choices Matter
23027,Mature
23027,Visual Novel
23027,Drama
23027,Episodic
23027,Comic Book
23027,Choose Your Own Adventure
23027,Quick-Time Events
9767,Singleplayer
9767,Steam Achievements
9767,Full controller support
9767,Steam Cloud
9767,Atmospheric
9767,steam-trading-cards
9767,Great Soundtrack
9767,Story Rich
9767,Open World
9767,2D
9767,Difficult
9767,Exploration
9767,Controller
9767,controller support
9767,Cute
9767,Dark Fantasy
9767,Side Scroller
9767,Multiple Endings
9767,Metroidvania
9767,Hand-drawn
9767,Gothic
41,Singleplayer
41,Steam Achievements
41,Full controller support
41,Steam Cloud
41,Atmospheric
41,steam-trading-cards
41,Great Soundtrack
41,Story Rich
41,Third Person
41,Horror
41,Female Protagonist
41,Stealth
41,Dark
41,Survival Horror
41,controller support
41,Short
41,achievements
41,Puzzle-Platformer
41,2.5D
4427,Singleplayer
4427,Steam Achievements
4427,Multiplayer
4427,Full controller support
4427,Atmospheric
4427,Great Soundtrack
4427,RPG
4427,Story Rich
4427,First-Person
4427,Sci-fi
4427,Horror
4427,FPS
4427,Action RPG
4427,Dark
4427,Dystopian
4427,Linear
4427,Steampunk
4427,Underwater
4427,Philisophical
18080,Singleplayer
18080,Multiplayer
18080,Atmospheric
18080,Great Soundtrack
18080,Story Rich
18080,First-Person
18080,Sci-fi
18080,FPS
18080,Funny
18080,Difficult
18080,Classic
18080,Retro
18080,Moddable
18080,Aliens
18080,Valve Anti-Cheat enabled
18080,Linear
18080,1990s
18080,Silent Protagonist
18080,vr mod
19710,Singleplayer
19710,Steam Achievements
19710,Steam Cloud
19710,Atmospheric
19710,Great Soundtrack
19710,Story Rich
19710,First-Person
19710,Sci-fi
