game_id,platform
2093,PC
2093,PlayStation 4
2093,PlayStation 5
58616,PlayStation 4
58616,PC
58616,Xbox One
58616,Nintendo Switch
3556,PC
3556,Xbox One
3556,Nintendo Switch
3556,Android
3556,iOS
3556,PlayStation 4
4223,PlayStation 3
4223,macOS
4223,PC
4223,Xbox 360
4223,Xbox One
58654,Xbox One
58654,PC
58654,PlayStation 4
3678,Xbox One
3678,PC
3678,macOS
3678,Linux
3678,PlayStation 4
4502,PlayStation 3
4502,Xbox One
4502,Xbox 360
4502,Nintendo Switch
4502,PC
28568,Xbox 360
28568,PlayStation 3
28568,Xbox One
28568,PC
28568,macOS
28568,PlayStation 4
28154,PlayStation 4
28154,Nintendo Switch
28154,Xbox One
28154,macOS
28154,PC
11052,PC
2235,PlayStation 3
2235,PC
2235,Android
2235,Xbox 360
262382,PC
262382,macOS
262382,Xbox One
262382,Nintendo Switch
262382,PlayStation 4
262382,Xbox Series S/X
262382,PlayStation 5
326243,PC
326243,Xbox One
326243,PlayStation 4
326243,Xbox Series S/X
326243,PlayStation 5
58777,PC
58777,PlayStation 4
58777,Xbox One
58777,Nintendo Switch
58777,PlayStation 5
28153,Xbox One
28153,PC
28153,PlayStation 4
356714,Android
356714,Nintendo Switch
356714,PC
356714,iOS
356714,PlayStation 4
356714,PlayStation 5
356714,Xbox One
10340,PC
10340,macOS
10340,Linux
58751,Xbox One
58751,PC
58751,Xbox Series S/X
1010,Nintendo Switch
1010,PlayStation 4
1010,PC
1010,iOS
1010,macOS
1010,Linux
2792,PlayStation 4
2792,Linux
2792,macOS
2792,PC
2792,iOS
2792,Xbox One
3876,Wii U
3876,PC
3876,macOS
3876,Xbox 360
3876,PlayStation 3
1682,PS Vita
1682,PlayStation 4
1682,Xbox One
1682,iOS
1682,PC
1682,Android
1682,Xbox 360
1682,macOS
4003,PlayStation 3
4003,Xbox 360
4003,macOS
4003,PC
998,Xbox One
998,PC
998,PlayStation 4
18613,PC
18613,macOS
18613,Linux
3497,PlayStation 4
3497,PlayStation 3
3497,PC
3497,Xbox One
3497,Xbox 360
13461,PlayStation 4
13461,Nintendo Switch
13461,Xbox 360
13461,PC
13461,Xbox One
13461,PlayStation 3
1256,Nintendo Switch
1256,macOS
1256,PC
1256,PlayStation 4
1256,Linux
17959,Xbox One
17959,PC
17959,Nintendo Switch
17959,Xbox 360
15002,PC
15002,macOS
15002,Linux
12024,macOS
12024,PC
12024,Linux
22571,Xbox One
22571,PC
22571,PlayStation 4
4527,PC
4527,Xbox One
4527,PlayStation 3
4527,macOS
4527,Xbox 360
4599,PlayStation 3
4599,Xbox 360
4599,PC
4599,Linux
4599,Xbox One
13268,Linux
13268,macOS
13268,PC
10560,macOS
10560,PC
10560,Linux
11435,macOS
11435,PC
3853,PlayStation 4
3853,Nintendo Switch
3853,PC
3853,Linux
3853,macOS
19590,Xbox 360
19590,Xbox One
19590,PC
10297,iOS
10297,PC
10297,macOS
10297,PlayStation 4
10297,Xbox One
10297,Nintendo Switch
10297,Linux
3168,PlayStation 4
3168,Xbox One
3168,PC
3168,macOS
3168,Linux
13305,Wii U
13305,Xbox 360
13305,PlayStation 3
13305,Xbox One
13305,PlayStation 4
13305,PC
28172,PlayStation 4
28172,Xbox One
28172,PC
1090,Android
1090,PS Vita
1090,Nintendo Switch
1090,Linux
1090,macOS
1090,PC
1090,iOS
4013,PlayStation 3
4013,PC
4013,Nintendo Switch
4013,Xbox 360
4013,Xbox One
3766,PlayStation 4
3766,PlayStation 3
3766,Xbox 360
3766,Xbox One
3766,macOS
3766,PC
10061,Xbox One
10061,PlayStation 4
10061,PC
4544,PC
4544,Nintendo Switch
4544,PlayStation 4
4544,Xbox One
4544,Xbox 360
4544,PlayStation 3
17352,PC
17352,Linux
17352,macOS
952,PC
952,macOS
952,Android
952,Linux
952,iOS
432,macOS
432,PC
432,iOS
432,Android
432,PlayStation 4
432,PlayStation 2
432,Xbox
51325,PlayStation 4
51325,PlayStation 5
28202,PlayStation 4
28202,PC
28202,Nintendo Switch
28202,Xbox One
906,Xbox 360
906,Xbox One
906,PlayStation 3
906,PC
906,PlayStation 4
11726,Xbox One
11726,Nintendo Switch
11726,PlayStation 4
11726,macOS
11726,Linux
11726,iOS
11726,PC
1358,Linux
1358,macOS
1358,PC
1358,iOS
1358,Android
1358,PS Vita
43877,PC
3474,Xbox One
3474,PlayStation 4
3474,PC
18272,Android
18272,PC
10548,Xbox One
10548,PC
10548,Nintendo Switch
10548,Wii U
10548,PlayStation 4
10073,PlayStation 4
10073,Nintendo Switch
10073,PC
10073,Xbox One
28492,PC
28492,Xbox 360
28492,PlayStation 3
3990,PlayStation 3
3990,PlayStation 4
559,PlayStation 4
559,Xbox One
559,PC
559,Nintendo Switch
559,Android
559,iOS
10419,PlayStation 4
10419,Xbox Series S/X
10419,PC
10419,macOS
10419,Nintendo Switch
10419,Xbox One
10419,PlayStation 5
3757,Xbox One
3757,PlayStation 4
3757,PlayStation 3
3757,PC
3757,Nintendo Switch
3757,Xbox 360
3740,Nintendo Switch
3740,PlayStation 3
3740,Xbox 360
3740,PlayStation 4
3740,PS Vita
3740,iOS
3740,PC
3740,macOS
3740,Linux
19542,Linux
19542,macOS
19542,PC
19542,Dreamcast
59359,PC
59359,Xbox Series S/X
59359,PlayStation 4
59359,PlayStation 5
59359,Xbox One
59359,Nintendo Switch
2572,PlayStation 4
2572,PC
2572,macOS
2572,Xbox One
2572,Linux
21265,Linux
21265,macOS
21265,PC
4954,PlayStation 3
4954,Xbox 360
4954,Nintendo Switch
4954,PC
4954,macOS
1244,PC
1244,macOS
1244,Nintendo Switch
1244,Linux
1244,PS Vita
1244,Xbox One
1244,PlayStation 4
14348,macOS
14348,Xbox One
14348,PlayStation 4
14348,PC
14348,Linux
15859,Xbox 360
15859,Xbox
15859,Nintendo Switch
15859,Xbox One
15859,Android
15859,iOS
15859,PC
15859,macOS
56184,GameCube
56184,Android
56184,PC
56184,iOS
56184,PlayStation 4
56184,PlayStation 2
56184,Wii
8146,PlayStation 4
8146,PC
8146,Xbox One
857,PC
857,Xbox One
9475,PlayStation 3
9475,PS Vita
9475,Linux
9475,Wii U
9475,Xbox One
9475,PC
9475,macOS
9475,PlayStation 4
865,iOS
865,Nintendo DS
865,PlayStation 3
865,macOS
865,PC
865,Xbox One
865,Wii
865,Xbox 360
3015,PC
3015,Xbox One
3015,Xbox 360
3015,PlayStation 3
3015,PlayStation 4
3015,macOS
3015,Linux
19384,macOS
19384,PC
4639,Xbox 360
4639,Xbox One
4639,macOS
4639,PlayStation 3
