game_id,store
17875,Nintendo Store
17875,PlayStation Store
17875,Xbox Store
3028,GOG
3028,PlayStation Store
3028,Steam
3028,Epic Games
817974,Steam
29338,GOG
29338,PlayStation Store
29338,Steam
29338,Epic Games
17126,Xbox Store
17126,Nintendo Store
17126,Epic Games
17126,Steam
17126,GOG
17126,PlayStation Store
1169,PlayStation Store
1169,Xbox Store
1169,Steam
1169,GOG
1169,App Store
7819,Nintendo Store
7819,Epic Games
7819,itch.io
7819,Steam
7819,Xbox Store
7819,GOG
7819,PlayStation Store
42187,Steam
42187,Xbox Store
42187,PlayStation Store
1959,PlayStation Store
1959,Xbox Store
1959,Steam
1959,Xbox 360 Store
1959,Google Play
1959,App Store
1959,Nintendo Store
3842,Steam
3842,PlayStation Store
3842,Xbox Store
3842,Xbox 360 Store
42,Nintendo Store
42,PlayStation Store
42,Steam
42,GOG
42,Xbox Store
42,Epic Games
42,App Store
5703,PlayStation Store
19365,PlayStation Store
19365,Steam
19365,Xbox 360 Store
3892,PlayStation Store
3892,Steam
3892,Nintendo Store
3892,Xbox 360 Store
21924,PlayStation Store
21924,Steam
21924,Xbox Store
3408,PlayStation Store
3408,Steam
3408,GOG
3408,Google Play
1774,Xbox Store
1774,PlayStation Store
1774,Nintendo Store
1774,Steam
1774,GOG
1774,itch.io
1774,Google Play
1774,App Store
5159,GOG
5159,PlayStation Store
5159,Xbox Store
624,App Store
624,Epic Games
624,Steam
624,GOG
28199,Xbox Store
28199,Nintendo Store
28199,Steam
2623,PlayStation Store
2623,Nintendo Store
2623,Xbox 360 Store
2623,Steam
2623,Xbox Store
2873,PlayStation Store
2873,Steam
2873,GOG
2873,Xbox Store
2873,App Store
2873,Google Play
2873,Epic Games
2733,Nintendo Store
2733,PlayStation Store
2733,Steam
2733,GOG
9609,Steam
28559,PlayStation Store
28559,Xbox Store
28559,Steam
28559,Xbox 360 Store
16209,Steam
9600,PlayStation Store
9600,Steam
274762,PlayStation Store
274762,Xbox Store
274762,Nintendo Store
274762,GOG
274762,Steam
274762,Epic Games
11276,App Store
11276,Steam
11276,Nintendo Store
11276,Xbox Store
11276,Xbox 360 Store
11276,PlayStation Store
11686,GOG
11686,Steam
23322,PlayStation Store
23322,Epic Games
23322,Steam
23322,GOG
23322,Xbox Store
58753,Steam
58753,Xbox Store
15834,PlayStation Store
15834,Nintendo Store
15834,App Store
15834,Steam
15834,GOG
15834,Xbox 360 Store
15834,Google Play
15834,Xbox Store
15834,Epic Games
22511,Nintendo Store
22781,PlayStation Store
22781,App Store
22781,Google Play
22781,GOG
22781,Xbox 360 Store
22781,Steam
22781,Nintendo Store
16343,Steam
16343,GOG
58617,Nintendo Store
58617,PlayStation Store
58617,Steam
58617,Epic Games
58617,Xbox Store
3371,PlayStation Store
3371,Xbox Store
3371,Steam
752,Epic Games
752,Xbox Store
752,PlayStation Store
752,Steam
752,Nintendo Store
4440,Xbox Store
4440,Steam
4440,PlayStation Store
4440,Xbox 360 Store
16113,Steam
16113,Xbox 360 Store
13194,Nintendo Store
13194,GOG
13194,Steam
13194,App Store
13194,Google Play
20406,Steam
18336,Epic Games
18336,Xbox Store
18336,GOG
18336,Steam
18336,Xbox 360 Store
4101,Xbox Store
4101,PlayStation Store
4101,Steam
4101,Nintendo Store
4101,Xbox 360 Store
306124,Steam
2728,PlayStation Store
2728,Steam
2728,Xbox Store
12756,GOG
12756,Steam
12756,Xbox 360 Store
45821,PlayStation Store
45821,Xbox Store
45821,GOG
45821,Steam
14446,Xbox 360 Store
14446,Xbox Store
14446,Steam
14446,Nintendo Store
22121,Epic Games
22121,Steam
22121,Nintendo Store
22121,PlayStation Store
22121,Xbox Store
22121,itch.io
4573,PlayStation Store
4573,Steam
4094,GOG
4094,Xbox Store
4094,PlayStation Store
4094,Steam
4094,Xbox 360 Store
4094,Google Play
2553,PlayStation Store
15426,Steam
14512,Steam
14512,GOG
3631,PlayStation Store
9966,Epic Games
9966,Google Play
9966,App Store
9966,Steam
9966,Xbox Store
9966,PlayStation Store
9966,Nintendo Store
18614,Steam
2597,GOG
2597,App Store
2597,Xbox 360 Store
2597,Steam
2597,Nintendo Store
2597,Google Play
4123,Nintendo Store
4123,App Store
4123,PlayStation Store
4123,Xbox 360 Store
30899,GOG
30899,Steam
42895,PlayStation Store
42895,Epic Games
42895,Steam
42895,Xbox Store
2115,PlayStation Store
2115,Xbox Store
2115,Steam
2115,Epic Games
9671,Steam
58550,Steam
58550,PlayStation Store
28152,Epic Games
28152,Steam
28152,PlayStation Store
28152,Xbox Store
13247,GOG
13247,Steam
13247,PlayStation Store
13247,Xbox Store
13247,Nintendo Store
13247,App Store
13247,Google Play
13913,GOG
13913,Steam
17857,Nintendo Store
17857,Xbox Store
17857,PlayStation Store
17857,Steam
17857,GOG
46956,Steam
46956,itch.io
50778,Steam
50778,PlayStation Store
50778,Xbox Store
3209,PlayStation Store
14962,Steam
18183,App Store
18183,Steam
19569,PlayStation Store
19569,Steam
19569,Xbox 360 Store
19569,GOG
750,PlayStation Store
750,Steam
750,Xbox Store
11312,PlayStation Store
11312,Steam
11312,GOG
11312,Xbox Store
11312,Epic Games
5193,GOG
5193,PlayStation Store
5193,Steam
14016,Xbox Store
14016,Steam
14016,GOG
14016,Xbox 360 Store
670682,Steam
2518,PlayStation Store
2518,Steam
2518,Xbox 360 Store
3368,PlayStation Store
3368,Steam
3368,GOG
250,PlayStation Store
250,Steam
250,Nintendo Store
250,Xbox Store
250,App Store
250,GOG
16359,PlayStation Store
16359,Xbox Store
16359,Steam
16359,GOG
274480,PlayStation Store
274480,Steam
274480,Nintendo Store
274480,Xbox Store
3346,PlayStation Store
3346,GOG
3346,Steam
3346,Xbox Store
3346,Epic Games
17803,Steam
17803,Xbox Store
9653,GOG
9653,Steam
10449,Epic Games
10449,Steam
10449,Xbox Store
10449,PlayStation Store
9793,Steam
15858,Steam
15858,GOG
15858,Xbox 360 Store
15858,App Store
13628,Steam
13628,PlayStation Store
13628,Xbox Store
12320,Epic Games
12320,Steam
12320,GOG
12320,Xbox Store
12320,Nintendo Store
12320,PlayStation Store
51610,Nintendo Store
51610,PlayStation Store
51610,Xbox Store
51610,Steam
3554,Epic Games
3554,GOG
3554,PlayStation Store
3554,Steam
3554,Xbox 360 Store
3554,Xbox Store
10092,Xbox Store
10092,Steam
50781,Steam
50781,Xbox Store
19299,Epic Games
19299,Steam
19299,GOG
10090,Epic Games
10090,Nintendo Store
